lsoa21cd,IMD19
E01014489,5787.0
E01014491,21380.0
E01014492,5144.0
E01014493,5986.0
E01014494,18309.0
E01014495,12862.0
E01014496,11235.0
E01014497,3871.0
E01014498,7473.0
E01014499,6363.0
E01014500,13997.0
E01014501,7041.0
E01014502,7668.0
E01014504,21462.0
E01014505,22238.0
E01014506,24197.0
E01014507,25753.0
E01014508,18629.0
E01014509,26948.0
E01014510,26251.0
E01014511,24538.0
E01014512,21945.0
E01014513,29628.0
E01014514,23611.0
E01014515,4064.0
E01014516,890.0
E01014517,2813.0
E01014518,14514.0
E01014519,9977.0
E01014520,19975.0
E01014521,10716.0
E01014522,4031.0
E01014523,9490.0
E01014524,16362.0
E01014525,22495.0
E01014526,4726.0
E01014527,11984.0
E01014528,21215.0
E01014529,6232.0
E01014530,16297.0
E01014531,18045.0
E01014532,15583.0
E01014533,16071.0
E01014534,14604.0
E01014535,20248.0
E01014536,3177.0
E01014537,14247.0
E01014538,22489.0
E01014539,21001.0
E01014544,28589.0
E01014545,27222.0
E01014546,25141.0
E01014547,28155.0
E01014548,15891.0
E01014549,15519.0
E01014550,27713.0
E01014551,20720.0
E01014552,27927.0
E01014553,27302.0
E01014554,24154.0
E01014555,18589.0
E01014556,27986.0
E01014557,25672.0
E01014558,18383.0
E01014559,26995.0
E01014560,25109.0
E01014561,25365.0
E01014562,22212.0
E01014563,18928.0
E01014564,9374.0
E01014565,6176.0
E01014566,8649.0
E01014567,10881.0
E01014568,4274.0
E01014569,8449.0
E01014570,11159.0
E01014571,9293.0
E01014572,8195.0
E01014573,13598.0
E01014574,3724.0
E01014575,5852.0
E01014576,12202.0
E01014577,22778.0
E01014578,5459.0
E01014579,6107.0
E01014580,379.0
E01014581,477.0
E01014582,1426.0
E01014583,573.0
E01014584,2625.0
E01014585,416.0
E01014586,10297.0
E01014587,11704.0
E01014588,8149.0
E01014589,979.0
E01014590,9254.0
E01014591,17176.0
E01014592,11699.0
E01014593,334.0
E01014594,359.0
E01014595,2108.0
E01014596,1470.0
E01014597,483.0
E01014598,22534.0
E01014599,20116.0
E01014600,7965.0
E01014601,7858.0
E01014602,4647.0
E01014603,10076.0
E01014605,1697.0
E01014607,11390.0
E01014608,3118.0
E01014609,6571.0
E01014610,3439.0
E01014611,21270.0
E01014612,9132.0
E01014613,15211.0
E01014614,16919.0
E01014615,31994.0
E01014616,29738.0
E01014617,30147.0
E01014618,31777.0
E01014619,28213.0
E01014620,30412.0
E01014621,24190.0
E01014622,10326.0
E01014623,11989.0
E01014624,6982.0
E01014626,6515.0
E01014627,13524.0
E01014629,4638.0
E01014630,6276.0
E01014631,16300.0
E01014632,11439.0
E01014633,14739.0
